日期,最高气温,最低气温,天气,风向
2024-01-01,9℃,-2℃,多云,西南风 1级
2024-01-02,12℃,0℃,晴,西北风 3级
2024-01-03,12℃,-1℃,晴,西风 2级
2024-01-04,14℃,-1℃,晴,西风 3级
2024-01-05,11℃,-2℃,多云,西北风 1级
2024-01-06,10℃,-4℃,多云~晴,东北风 3级
2024-01-07,6℃,-3℃,晴,东南风 2级
2024-01-08,9℃,0℃,晴~多云,西南风 2级
2024-01-09,9℃,-3℃,多云~晴,北风 3级
2024-01-10,9℃,-2℃,多云~晴,西南风 2级
2024-02-01,-2℃,-4℃,阴,东北风 4级
2024-02-02,-2℃,-3℃,中雪~小雪,东北风 2级
2024-02-03,-1℃,-2℃,小雪~阴,东北风 2级
2024-02-04,0℃,-7℃,阴~多云,东北风 2级
2024-02-05,3℃,-5℃,多云~阴,西南风 1级
2024-02-06,4℃,-4℃,多云,东南风 1级
2024-02-07,5℃,-4℃,多云,西南风 1级
2024-02-08,9℃,-1℃,多云~晴,西风 2级
2024-02-09,13℃,0℃,多云~晴,西风 4级
2024-02-10,15℃,1℃,多云~晴,西北风 3级
2024-03-01,5℃,1℃,多云,东南风 1级
2024-03-02,13℃,-1℃,晴,西风 3级
2024-03-03,14℃,5℃,阴,东南风 2级
2024-03-04,8℃,4℃,多云~阴,东北风 3级
2024-03-05,10℃,3℃,多云~阴,东北风 3级
2024-03-06,5℃,1℃,雨夹雪~多云,东北风 2级
2024-03-07,15℃,0℃,雾~晴,西北风 4级
2024-03-08,13℃,1℃,多云~晴,东南风 2级
2024-03-09,16℃,4℃,晴,南风 3级
2024-03-10,19℃,9℃,阴~多云,西南风 2级
2024-04-01,28℃,13℃,多云~小雨,东南风 3级
2024-04-02,16℃,13℃,阴,东北风 3级
2024-04-03,15℃,9℃,阴,东北风 4级
2024-04-04,15℃,7℃,阴,东风 2级
2024-04-05,19℃,10℃,阴~多云,南风 2级
2024-04-06,24℃,11℃,多云,南风 2级
2024-04-07,24℃,11℃,多云~晴,东南风 2级
2024-04-08,26℃,12℃,多云,东南风 2级
2024-04-09,22℃,13℃,多云~阴,东南风 2级
2024-04-10,25℃,12℃,多云,西南风 2级
2024-05-01,24℃,13℃,多云,西南风 2级
2024-05-02,25℃,13℃,晴~阴,东南风 3级
2024-05-03,23℃,14℃,阴,东南风 2级
2024-05-04,18℃,12℃,阴,西北风 1级
2024-05-05,25℃,14℃,阴~晴,西北风 3级
2024-05-06,26℃,15℃,多云~晴,东北风 2级
2024-05-07,30℃,14℃,多云~晴,东北风 2级
2024-05-08,29℃,18℃,阴~多云,东南风 2级
2024-05-09,30℃,19℃,阴~多云,南风 3级
2024-05-10,31℃,21℃,晴~多云,西南风 4级
2024-06-01,31℃,23℃,阴,东南风 2级
2024-06-02,31℃,19℃,阴~多云,西南风 3级
2024-06-03,33℃,21℃,阴~多云,东南风 1级
2024-06-04,29℃,21℃,阴,西风 3级
2024-06-05,29℃,19℃,阴~多云,南风 1级
2024-06-06,29℃,22℃,阴,东南风 2级
2024-06-07,32℃,22℃,阴,西南风 2级
2024-06-08,31℃,20℃,阴~多云,西北风 1级
2024-06-09,36℃,22℃,阴~晴,西风 1级
2024-06-10,36℃,25℃,阴~多云,南风 2级
2024-07-01,30℃,23℃,小雨,北风 3级
2024-07-02,27℃,20℃,阴~晴,东北风 3级
2024-07-03,30℃,22℃,阴~阵雨,西南风 2级
2024-07-04,32℃,23℃,阴,东南风 2级
2024-07-05,30℃,23℃,暴雨~中雨,西风 1级
2024-07-06,33℃,26℃,阴~阵雨,南风 1级
2024-07-07,33℃,23℃,阴~暴雨,西南风 1级
2024-07-08,26℃,23℃,大雨~小雨,东北风 3级
2024-07-09,30℃,23℃,阴~多云,东北风 3级
2024-07-10,30℃,23℃,小雨~阴,南风 1级
2024-08-01,35℃,26℃,多云~晴,南风 3级
2024-08-02,34℃,27℃,阴~晴,南风 3级
2024-08-03,35℃,28℃,阴~多云,南风 3级
2024-08-04,34℃,26℃,大雨~阵雨,西南风 2级
2024-08-05,34℃,24℃,大雨~中雨,东北风 1级
2024-08-06,33℃,24℃,阴~小雨,东南风 2级
2024-08-07,32℃,25℃,小雨~中雨,东南风 2级
2024-08-08,27℃,25℃,暴雨~中雨,东风 2级
2024-08-09,34℃,26℃,小雨,东南风 2级
2024-08-10,34℃,26℃,阴~晴,西风 3级
2024-09-01,38℃,25℃,阴~小雨,北风 1级
2024-09-02,27℃,21℃,阴~多云,东北风 4级
2024-09-03,30℃,23℃,阴~多云,东南风 2级
2024-09-04,34℃,27℃,晴~多云,西南风 3级
2024-09-05,31℃,22℃,阴~晴,东北风 3级
2024-09-06,30℃,22℃,阴~多云,东北风 3级
2024-09-07,29℃,24℃,阴~多云,东南风 2级
2024-09-08,32℃,25℃,雾~多云,东风 2级
2024-09-09,35℃,25℃,雾~多云,东南风 2级
2024-09-10,27℃,22℃,阴,东北风 3级
2024-10-01,23℃,9℃,阴~晴,西北风 3级
2024-10-02,21℃,9℃,晴,东南风 1级
2024-10-03,23℃,8℃,晴,东南风 2级
2024-10-04,23℃,13℃,多云,东南风 2级
2024-10-05,21℃,17℃,阴,东南风 2级
2024-10-06,24℃,15℃,阴,西风 1级
2024-10-07,21℃,13℃,多云~晴,东北风 3级
2024-10-08,23℃,15℃,多云~晴,东南风 1级
2024-10-09,26℃,17℃,多云~阴,西风 3级
2024-10-10,25℃,13℃,阴~晴,东北风 3级
2024-11-01,19℃,11℃,阴~多云,西北风 2级
2024-11-02,23℃,11℃,多云~晴,南风 1级
2024-11-03,24℃,13℃,多云,西北风 3级
2024-11-04,15℃,4℃,阴~多云,东北风 4级
2024-11-05,17℃,5℃,晴,东风 1级
2024-11-06,18℃,7℃,晴,东南风 2级
2024-11-07,18℃,9℃,多云,东南风 2级
2024-11-08,19℃,9℃,多云~阴,东南风 2级
2024-11-09,15℃,10℃,阴~多云,东南风 2级
2024-11-10,20℃,12℃,多云,东风 1级
2024-12-01,18℃,6℃,晴,西风 3级
2024-12-02,10℃,4℃,晴,西北风 2级
2024-12-03,12℃,1℃,轻度雾霾,东风 1级
2024-12-04,9℃,2℃,轻度雾霾,东风 1级
2024-12-05,12℃,5℃,阴,西风 3级
2024-12-06,13℃,5℃,晴,西北风 4级
2024-12-07,10℃,1℃,晴,东风 2级
2024-12-08,8℃,-2℃,晴,南风 2级
2024-12-09,9℃,2℃,雾,南风 2级
2024-12-10,6℃,0℃,阴,东风 1级
